age,gender,driving_experience,vehicle_age,annual_mileage,total_claims_cost
66,1,2,3,6920,9221.989565606169
54,1,26,11,15495,14069.573304834033
18,0,50,16,13841,9314.819083087548
42,1,20,9,9030,10460.305134725892
27,0,7,15,19529,12582.995573103626
53,0,38,8,19794,17040.444728098097
35,0,2,7,7434,7297.594036783322
66,1,35,11,18104,16942.356795761083
64,1,11,5,23063,17850.1394565713
41,1,6,5,17713,13234.796941594426
24,1,9,17,19456,13072.033696044891
53,1,3,0,23390,17768.970917727693
42,0,23,12,23304,16358.462003041055
54,1,32,7,11139,10987.36662701051
63,1,34,0,23493,18063.709000588304
37,0,10,1,22327,15156.483582557057
43,1,44,13,13560,12429.665410532301
67,1,29,16,24630,19887.356745583736
64,0,44,0,11571,13090.383607754819
20,0,42,0,18844,12106.651137524632
58,1,4,19,10765,11571.782276059866
42,0,49,5,15193,14049.603897556435
44,0,47,11,17228,14327.328686496247
53,1,12,2,6683,9503.25693773777
54,1,28,13,18099,16658.616409955852
48,1,20,4,9998,9606.309511373034
62,0,23,1,5631,9436.62058891267
22,0,44,17,12615,9896.165507747306
37,1,29,12,19981,15183.454725092193
51,0,27,10,13883,12717.275462150988
45,1,34,10,5153,8163.642783654786
57,1,21,11,14405,13693.232626852017
20,0,38,0,10162,8028.392046018395
50,1,3,8,13578,11717.737401158707
59,1,26,3,16208,15851.726659322454
41,1,12,1,22270,14884.65474388888
47,1,19,10,22276,16313.126438497093
60,0,49,7,8011,11403.621523596254
32,1,48,16,15529,12570.265285350244
39,1,46,20,6090,7830.431546982949
25,0,10,7,18825,12247.413804313543
53,1,27,14,22261,16640.938940976823
21,0,30,3,7001,6749.169606841528
39,0,40,18,5786,7673.187227162566
35,1,6,19,14031,10592.40321918118
62,1,47,16,12852,13993.082480569301
45,0,33,6,7319,8371.433509209488
22,1,32,14,11074,8853.395737012705
21,1,39,11,22156,13960.19018526516
51,0,45,4,12100,11855.844955478266
67,1,30,2,13765,13394.999273297992
52,0,5,15,22625,15824.274752738718
41,0,49,20,7528,9999.147705873425
40,0,29,20,11809,11964.758797288012
66,0,49,19,17262,17409.24987324947
70,1,29,19,20457,18287.73305099018
43,0,6,13,12301,11034.135792331776
67,1,6,14,22976,18855.298779771187
23,1,19,10,6314,5918.429448319484
23,0,42,20,10572,9272.32697582824
19,1,47,10,22818,14913.933396791936
69,1,26,4,19646,17786.805769801605
20,0,17,10,24275,15360.214417233012
38,1,12,17,22490,15534.416816854786
19,0,2,18,21616,13455.301378218495
55,1,22,13,7748,10100.888672513414
27,0,34,6,17912,11872.456756890928
57,1,27,12,11397,11794.470069975025
22,0,34,3,12070,8863.0321256605
50,1,4,5,22429,16527.79622919959
66,0,40,15,20585,18754.65965447864
56,0,37,4,12716,13228.762763412864
53,0,16,8,16826,13649.116603868992
62,1,2,5,5435,9358.137506929183
59,1,37,11,20441,16686.123891935473
26,1,19,16,7081,7400.672443873648
46,0,42,9,24143,17304.564243026955
29,1,28,2,18327,12013.054142793548
37,0,5,5,7032,7506.775047900862
